               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1181,            0.021989,            0.045058,           0.0038031,             0.34722,           0.0036879,           0.0014489,             0.07296,            0.013225,            0.025995,              0.0937,              0.0007,              0.0007
                   1,             0.11245,            0.023422,            0.045555,           0.0036183,             0.65278,           0.0045917,           0.0017889,            0.064663,            0.014126,            0.024305,             0.08647,           0.0014703,           0.0014703
                   2,             0.10504,            0.029767,            0.041627,           0.0040953,             0.44444,            0.030893,            0.011982,            0.056396,            0.014725,            0.024248,            0.079209,           0.0022089,           0.0022089
                   3,            0.099327,            0.035583,            0.040182,           0.0052518,             0.65278,            0.050024,            0.016454,            0.051541,            0.014101,            0.024392,            0.071916,           0.0029159,           0.0029159
                   4,            0.087287,            0.028673,              0.0352,           0.0049475,             0.98611,            0.066217,            0.022672,            0.046823,             0.01437,            0.021861,            0.064591,           0.0035911,           0.0035911
                   5,             0.08511,            0.029578,            0.033191,           0.0050048,             0.97222,             0.10059,            0.034722,            0.043973,            0.014303,            0.019376,            0.057235,           0.0042347,           0.0042347
                   6,            0.083496,            0.031003,            0.033254,             0.74192,            0.055556,             0.13351,            0.067389,            0.043908,            0.013163,             0.01724,            0.049847,           0.0048466,           0.0048466
                   7,            0.078209,            0.033536,            0.030998,             0.43097,             0.11111,             0.28567,             0.11437,             0.04256,            0.012902,            0.016201,            0.042427,           0.0054268,           0.0054268
                   8,             0.07574,            0.031867,            0.031066,             0.72878,             0.18132,             0.29367,             0.12227,            0.043442,            0.012347,            0.016334,            0.034975,           0.0059754,           0.0059754
                   9,            0.070597,            0.032209,            0.029458,             0.48334,             0.30556,             0.28953,             0.10944,            0.037672,            0.012488,            0.015634,            0.027492,           0.0064922,           0.0064922
